university_title_full,course_local_id,course_title_full,course_level,course_track,course_semester,course_credits,course_credits_type,course_link_descrip
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,MA,Multiprocessors Architecture,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/MA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,OS,Operating Systems,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/OS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,PA,Processor Architecture,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/PA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,APA,Advanced Processor Architecture,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/APA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CHPC,Compilers for High Performance Computers,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CHPC-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,NCD,Nanoelectronic Circuit Design,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/NCD-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,PD,Processor Design,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/PD-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,PPTM,Parallel Programming Tools and Models,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/PPTM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SA,Supercomputers Architecture,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SCA,Supercomputing for Challenging Applications,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SCA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,EB,E-Business,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/EB-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,RES,Requirements Engineering for Services,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/RES-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SM,Service Management,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SOA,Service Oriented Architecture,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SOA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ASE,Advanced Software Engineering,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/ASE-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,BDM,Big Data Management,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/BDM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,BIP,Business Intelligence Project,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/BIP-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,DW,Data Warehousing,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/DW-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SEAIT,Social and Environmental Aspects of Information Technology,Master,Innovation and Research in Informatics,,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SEAIT-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SOBI,Service Oriented Business Intelligence,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SOBI-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,VBP,Viability of Business Projects,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/VBP-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,WS,Web Services,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/WS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ADSDB,"Algorithms, Data Structures and Databases",Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/ADSDB-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,DEWS,Design and Evaluation of Web-Based Systems,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/DEWS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,I2P,Interdisciplinary Innovation Project,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/I2P-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SIBIT,Service Innovation Based On Information Technologies,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SIBIT-MIRI
